rh.aparc.volume	rh_bankssts_volume	rh_caudalanteriorcingulate_volume	rh_caudalmiddlefrontal_volume	rh_cuneus_volume	rh_entorhinal_volume	rh_fusiform_volume	rh_inferiorparietal_volume	rh_inferiortemporal_volume	rh_isthmuscingulate_volume	rh_lateraloccipital_volume	rh_lateralorbitofrontal_volume	rh_lingual_volume	rh_medialorbitofrontal_volume	rh_middletemporal_volume	rh_parahippocampal_volume	rh_paracentral_volume	rh_parsopercularis_volume	rh_parsorbitalis_volume	rh_parstriangularis_volume	rh_pericalcarine_volume	rh_postcentral_volume	rh_posteriorcingulate_volume	rh_precentral_volume	rh_precuneus_volume	rh_rostralanteriorcingulate_volume	rh_rostralmiddlefrontal_volume	rh_superiorfrontal_volume	rh_superiorparietal_volume	rh_superiortemporal_volume	rh_supramarginal_volume	rh_frontalpole_volume	rh_temporalpole_volume	rh_transversetemporal_volume	rh_insula_volume
6347/	1845.0	1725.0	5495.0	3027.0	1793.0	10063.0	12633.0	11520.0	2321.0	12146.0	6525.0	7083.0	4936.0	10447.0	2044.0	3562.0	3711.0	2521.0	3761.0	2120.0	9414.0	2242.0	13586.0	9540.0	2377.0	15827.0	22251.0	12573.0	11269.0	10951.0	1029.0	2565.0	1210.0	7659.0
6348/	1947.0	1469.0	4319.0	2654.0	1514.0	8319.0	13426.0	10267.0	2026.0	9751.0	6366.0	6165.0	4450.0	9192.0	2027.0	3164.0	3819.0	2374.0	4416.0	2109.0	9019.0	2357.0	13487.0	9011.0	1872.0	12846.0	18332.0	12101.0	9531.0	8279.0	1005.0	2608.0	873.0	6032.0
6503/	2411.0	1367.0	6549.0	3225.0	1526.0	10857.0	13682.0	9549.0	2133.0	16459.0	6581.0	6859.0	5796.0	11776.0	1710.0	4316.0	4562.0	2048.0	4094.0	2336.0	10207.0	2868.0	13524.0	11000.0	1352.0	15485.0	24160.0	15070.0	12168.0	13382.0	1026.0	2186.0	1192.0	7630.0
6512/	2011.0	2048.0	4444.0	2303.0	1677.0	9649.0	13109.0	8985.0	2956.0	10656.0	6311.0	6480.0	4764.0	10531.0	2303.0	3841.0	3633.0	2444.0	4260.0	2063.0	9130.0	3279.0	12777.0	8041.0	1992.0	15100.0	21391.0	14805.0	11307.0	9173.0	1090.0	1728.0	1046.0	6923.0
6613/	1940.0	3180.0	8780.0	3305.0	1486.0	10309.0	19304.0	13792.0	3000.0	14969.0	7728.0	7954.0	6808.0	13741.0	2052.0	4942.0	4710.0	3059.0	4534.0	2477.0	10046.0	3585.0	17023.0	12457.0	2711.0	20671.0	25196.0	17251.0	12279.0	12295.0	1658.0	1993.0	819.0	7279.0
6636/	662.0	91.0	1977.0	1000.0	489.0	2293.0	6471.0	2041.0	1172.0	3196.0	1594.0	2406.0	313.0	3785.0	681.0	1424.0	1526.0	838.0	1301.0	965.0	3961.0	866.0	4317.0	4878.0	7.0	4654.0	3780.0	6768.0	2093.0	3791.0	164.0	459.0	256.0	1182.0
6685/	603.0	243.0	1545.0	1147.0	805.0	1995.0	4404.0	1272.0	378.0	2423.0	2400.0	1425.0	961.0	1884.0	1521.0	90.0	698.0	796.0	829.0	933.0	2689.0	0.0	2724.0	2677.0	485.0	3048.0	1005.0	4515.0	1733.0	1916.0	107.0	121.0	46.0	1380.0
6712/	1817.0	2385.0	5476.0	2395.0	1598.0	8555.0	12349.0	7807.0	2088.0	8325.0	5923.0	5982.0	4819.0	9343.0	1846.0	3174.0	2556.0	2320.0	2757.0	2363.0	7305.0	2966.0	9692.0	8754.0	2200.0	12792.0	15450.0	10357.0	8540.0	7675.0	1047.0	2781.0	499.0	5752.0
6730/	2961.0	2422.0	6864.0	2802.0	1223.0	8015.0	15325.0	10541.0	2376.0	9199.0	6146.0	5336.0	4987.0	12636.0	1946.0	3874.0	4905.0	2716.0	4119.0	1658.0	8502.0	2991.0	11937.0	9510.0	1883.0	14217.0	20244.0	13642.0	11486.0	10543.0	1025.0	1903.0	974.0	6830.0
6731/	2931.0	1683.0	7541.0	3046.0	1785.0	11231.0	16701.0	9849.0	2636.0	11463.0	7089.0	6935.0	5278.0	13361.0	2603.0	3599.0	4949.0	2780.0	5000.0	1893.0	9742.0	2681.0	13771.0	11573.0	2314.0	17841.0	24428.0	14034.0	13103.0	11814.0	1435.0	2012.0	893.0	7133.0
6732/	2007.0	2599.0	6402.0	2806.0	1380.0	6344.0	13872.0	9211.0	2352.0	10958.0	7514.0	6717.0	4845.0	10685.0	1552.0	4090.0	4475.0	2244.0	3458.0	1920.0	7470.0	3168.0	13006.0	9527.0	2888.0	14524.0	20551.0	10725.0	10586.0	9862.0	930.0	1856.0	780.0	5660.0
6738/	3186.0	2634.0	9289.0	3847.0	1928.0	11046.0	16974.0	11086.0	3520.0	14889.0	8403.0	8622.0	5985.0	14085.0	1828.0	3616.0	4607.0	3184.0	4115.0	3023.0	10550.0	3993.0	16629.0	10505.0	2845.0	20063.0	25270.0	14554.0	15089.0	11597.0	1245.0	1930.0	1228.0	8047.0
6741/	2640.0	2627.0	5304.0	3599.0	1633.0	10367.0	13540.0	10196.0	2815.0	11388.0	8169.0	7381.0	5778.0	12995.0	2057.0	4788.0	4050.0	2886.0	6133.0	2723.0	9036.0	3515.0	15607.0	10682.0	2637.0	16567.0	25557.0	12925.0	11769.0	11753.0	1228.0	2409.0	1247.0	6657.0
