rh.BA.area	rh_BA1_area	rh_BA2_area	rh_BA3a_area	rh_BA3b_area	rh_BA4a_area	rh_BA4p_area	rh_BA6_area	rh_BA44_area	rh_BA45_area	rh_V1_area	rh_V2_area	rh_MT_area	rh_perirhinal_area	rh_WhiteSurfArea_area
5514/	524.0	2137.0	627.0	1326.0	847.0	758.0	4729.0	2436.0	3761.0	2809.0	5564.0	1897.0	413.0	90866.4
5515/	511.0	1809.0	762.0	1555.0	1134.0	1033.0	6237.0	2844.0	3329.0	3140.0	6320.0	1327.0	418.0	98450.6
5516/	479.0	1884.0	722.0	1302.0	900.0	875.0	5774.0	2108.0	2501.0	2162.0	5108.0	1124.0	323.0	83430.4
5518/	562.0	1909.0	700.0	1278.0	1058.0	878.0	5457.0	2348.0	3027.0	2340.0	4556.0	1403.0	307.0	84089.2
5640/	555.0	1917.0	828.0	1667.0	1069.0	1001.0	6399.0	2342.0	2636.0	2392.0	5248.0	1542.0	361.0	91691.9
5649/	635.0	2728.0	900.0	1668.0	1070.0	988.0	6402.0	3025.0	3221.0	2177.0	4894.0	1651.0	459.0	100094.0
5754/	641.0	2546.0	690.0	1371.0	995.0	801.0	6264.0	2403.0	2934.0	2768.0	5740.0	1485.0	391.0	94906.0
5755/	413.0	1580.0	610.0	1085.0	635.0	702.0	3968.0	1783.0	2265.0	2089.0	4217.0	1047.0	347.0	66771.9
5771/	599.0	2498.0	699.0	1460.0	1097.0	881.0	5143.0	2367.0	3180.0	2740.0	5634.0	1278.0	447.0	91760.7
5825/	527.0	2559.0	709.0	1293.0	987.0	799.0	5348.0	2588.0	2615.0	1667.0	4461.0	1671.0	426.0	84254.4
5843/	367.0	1512.0	634.0	1061.0	808.0	697.0	3858.0	1941.0	2306.0	1950.0	4194.0	1194.0	295.0	65903.8
5844/	391.0	1553.0	700.0	1269.0	858.0	822.0	5856.0	1941.0	2258.0	2186.0	5069.0	1208.0	351.0	78292.7
5899/	563.0	2068.0	701.0	1307.0	830.0	725.0	4771.0	2331.0	2062.0	2591.0	4758.0	1229.0	355.0	81866.0
5900/	559.0	2334.0	823.0	1481.0	1037.0	970.0	6270.0	2761.0	2912.0	2683.0	5094.0	1165.0	487.0	93985.0
5902/	563.0	2496.0	756.0	1492.0	1105.0	952.0	6180.0	3086.0	3112.0	3250.0	5704.0	1639.0	433.0	94949.0
5953/	389.0	1713.0	651.0	1223.0	911.0	892.0	4486.0	2332.0	2610.0	2549.0	5003.0	1438.0	343.0	81906.7
5955/	457.0	2060.0	682.0	1157.0	744.0	713.0	5159.0	2239.0	2505.0	2580.0	5413.0	1167.0	371.0	81268.2
5977/	554.0	2366.0	734.0	1381.0	1011.0	878.0	5120.0	2726.0	2694.0	2795.0	5251.0	1371.0	352.0	90762.4
